t_s,availability,run_id,data_origin
0.0,1.0,S1_framework_r15,synthetic_reference
1.0,0.99845,S1_framework_r15,synthetic_reference
2.0,0.99526,S1_framework_r15,synthetic_reference
3.0,0.99793,S1_framework_r15,synthetic_reference
4.0,1.0,S1_framework_r15,synthetic_reference
5.0,0.99989,S1_framework_r15,synthetic_reference
6.0,0.99976,S1_framework_r15,synthetic_reference
7.0,0.9986,S1_framework_r15,synthetic_reference
8.0,0.99844,S1_framework_r15,synthetic_reference
9.0,1.0,S1_framework_r15,synthetic_reference
10.0,0.99395,S1_framework_r15,synthetic_reference
11.0,0.99472,S1_framework_r15,synthetic_reference
12.0,1.0,S1_framework_r15,synthetic_reference
13.0,0.99986,S1_framework_r15,synthetic_reference
14.0,0.99876,S1_framework_r15,synthetic_reference
15.0,0.99911,S1_framework_r15,synthetic_reference
16.0,1.0,S1_framework_r15,synthetic_reference
17.0,0.99674,S1_framework_r15,synthetic_reference
18.0,0.99734,S1_framework_r15,synthetic_reference
19.0,0.99646,S1_framework_r15,synthetic_reference
20.0,0.99893,S1_framework_r15,synthetic_reference
21.0,1.0,S1_framework_r15,synthetic_reference
22.0,1.0,S1_framework_r15,synthetic_reference
23.0,0.99774,S1_framework_r15,synthetic_reference
24.0,0.99976,S1_framework_r15,synthetic_reference
25.0,1.0,S1_framework_r15,synthetic_reference
26.0,0.99373,S1_framework_r15,synthetic_reference
27.0,0.99867,S1_framework_r15,synthetic_reference
28.0,0.99886,S1_framework_r15,synthetic_reference
29.0,0.99396,S1_framework_r15,synthetic_reference
30.0,0.99847,S1_framework_r15,synthetic_reference
31.0,1.0,S1_framework_r15,synthetic_reference
32.0,0.99584,S1_framework_r15,synthetic_reference
33.0,0.99735,S1_framework_r15,synthetic_reference
34.0,0.99953,S1_framework_r15,synthetic_reference
35.0,1.0,S1_framework_r15,synthetic_reference
36.0,1.0,S1_framework_r15,synthetic_reference
37.0,1.0,S1_framework_r15,synthetic_reference
38.0,0.99795,S1_framework_r15,synthetic_reference
39.0,0.99836,S1_framework_r15,synthetic_reference
40.0,0.99935,S1_framework_r15,synthetic_reference
41.0,0.99719,S1_framework_r15,synthetic_reference
42.0,0.99693,S1_framework_r15,synthetic_reference
