t_s,availability,run_id,data_origin
0.0,0.9985,S3_baseline_r04,synthetic_reference
1.0,1.0,S3_baseline_r04,synthetic_reference
2.0,1.0,S3_baseline_r04,synthetic_reference
3.0,0.99556,S3_baseline_r04,synthetic_reference
4.0,0.99565,S3_baseline_r04,synthetic_reference
5.0,1.0,S3_baseline_r04,synthetic_reference
6.0,0.99857,S3_baseline_r04,synthetic_reference
7.0,0.99909,S3_baseline_r04,synthetic_reference
8.0,0.99745,S3_baseline_r04,synthetic_reference
9.0,0.99728,S3_baseline_r04,synthetic_reference
10.0,1.0,S3_baseline_r04,synthetic_reference
11.0,0.99765,S3_baseline_r04,synthetic_reference
12.0,1.0,S3_baseline_r04,synthetic_reference
13.0,0.99863,S3_baseline_r04,synthetic_reference
14.0,1.0,S3_baseline_r04,synthetic_reference
15.0,0.9987,S3_baseline_r04,synthetic_reference
16.0,1.0,S3_baseline_r04,synthetic_reference
17.0,1.0,S3_baseline_r04,synthetic_reference
18.0,1.0,S3_baseline_r04,synthetic_reference
19.0,0.99448,S3_baseline_r04,synthetic_reference
20.0,0.99826,S3_baseline_r04,synthetic_reference
21.0,0.99441,S3_baseline_r04,synthetic_reference
22.0,0.99901,S3_baseline_r04,synthetic_reference
23.0,0.99827,S3_baseline_r04,synthetic_reference
24.0,1.0,S3_baseline_r04,synthetic_reference
25.0,1.0,S3_baseline_r04,synthetic_reference
26.0,0.99507,S3_baseline_r04,synthetic_reference
27.0,0.99255,S3_baseline_r04,synthetic_reference
28.0,1.0,S3_baseline_r04,synthetic_reference
29.0,0.99894,S3_baseline_r04,synthetic_reference
30.0,1.0,S3_baseline_r04,synthetic_reference
31.0,0.9978,S3_baseline_r04,synthetic_reference
32.0,0.99903,S3_baseline_r04,synthetic_reference
33.0,1.0,S3_baseline_r04,synthetic_reference
34.0,0.99941,S3_baseline_r04,synthetic_reference
35.0,1.0,S3_baseline_r04,synthetic_reference
36.0,0.99783,S3_baseline_r04,synthetic_reference
37.0,0.99525,S3_baseline_r04,synthetic_reference
38.0,0.99791,S3_baseline_r04,synthetic_reference
39.0,1.0,S3_baseline_r04,synthetic_reference
40.0,0.99937,S3_baseline_r04,synthetic_reference
41.0,0.9987,S3_baseline_r04,synthetic_reference
42.0,0.9979,S3_baseline_r04,synthetic_reference
43.0,0.99714,S3_baseline_r04,synthetic_reference
44.0,1.0,S3_baseline_r04,synthetic_reference
45.0,0.99435,S3_baseline_r04,synthetic_reference
46.0,0.999,S3_baseline_r04,synthetic_reference
47.0,0.99706,S3_baseline_r04,synthetic_reference
48.0,1.0,S3_baseline_r04,synthetic_reference
49.0,0.99546,S3_baseline_r04,synthetic_reference
50.0,0.99654,S3_baseline_r04,synthetic_reference
51.0,0.99538,S3_baseline_r04,synthetic_reference
52.0,0.99767,S3_baseline_r04,synthetic_reference
53.0,0.99893,S3_baseline_r04,synthetic_reference
54.0,0.9984,S3_baseline_r04,synthetic_reference
55.0,0.99884,S3_baseline_r04,synthetic_reference
56.0,0.99964,S3_baseline_r04,synthetic_reference
57.0,1.0,S3_baseline_r04,synthetic_reference
58.0,1.0,S3_baseline_r04,synthetic_reference
59.0,1.0,S3_baseline_r04,synthetic_reference
60.0,1.0,S3_baseline_r04,synthetic_reference
61.0,0.99719,S3_baseline_r04,synthetic_reference
62.0,1.0,S3_baseline_r04,synthetic_reference
63.0,1.0,S3_baseline_r04,synthetic_reference
64.0,1.0,S3_baseline_r04,synthetic_reference
65.0,1.0,S3_baseline_r04,synthetic_reference
66.0,0.99564,S3_baseline_r04,synthetic_reference
67.0,0.99877,S3_baseline_r04,synthetic_reference
68.0,1.0,S3_baseline_r04,synthetic_reference
69.0,0.99916,S3_baseline_r04,synthetic_reference
70.0,0.99775,S3_baseline_r04,synthetic_reference
71.0,0.99954,S3_baseline_r04,synthetic_reference
72.0,0.99997,S3_baseline_r04,synthetic_reference
73.0,0.9996,S3_baseline_r04,synthetic_reference
74.0,1.0,S3_baseline_r04,synthetic_reference
