t_s,availability,run_id,data_origin
0.0,0.99939,S1_baseline_r16,synthetic_reference
1.0,1.0,S1_baseline_r16,synthetic_reference
2.0,0.99444,S1_baseline_r16,synthetic_reference
3.0,1.0,S1_baseline_r16,synthetic_reference
4.0,0.99688,S1_baseline_r16,synthetic_reference
5.0,1.0,S1_baseline_r16,synthetic_reference
6.0,0.99826,S1_baseline_r16,synthetic_reference
7.0,0.99812,S1_baseline_r16,synthetic_reference
8.0,0.99654,S1_baseline_r16,synthetic_reference
9.0,1.0,S1_baseline_r16,synthetic_reference
10.0,0.99853,S1_baseline_r16,synthetic_reference
11.0,0.99682,S1_baseline_r16,synthetic_reference
12.0,0.99932,S1_baseline_r16,synthetic_reference
13.0,0.99764,S1_baseline_r16,synthetic_reference
14.0,0.99774,S1_baseline_r16,synthetic_reference
15.0,1.0,S1_baseline_r16,synthetic_reference
16.0,0.99744,S1_baseline_r16,synthetic_reference
17.0,0.99803,S1_baseline_r16,synthetic_reference
18.0,0.9951,S1_baseline_r16,synthetic_reference
19.0,0.99826,S1_baseline_r16,synthetic_reference
20.0,0.99591,S1_baseline_r16,synthetic_reference
21.0,0.99988,S1_baseline_r16,synthetic_reference
22.0,1.0,S1_baseline_r16,synthetic_reference
23.0,0.99819,S1_baseline_r16,synthetic_reference
24.0,1.0,S1_baseline_r16,synthetic_reference
25.0,0.99355,S1_baseline_r16,synthetic_reference
26.0,0.99772,S1_baseline_r16,synthetic_reference
27.0,0.99713,S1_baseline_r16,synthetic_reference
28.0,0.99885,S1_baseline_r16,synthetic_reference
29.0,1.0,S1_baseline_r16,synthetic_reference
30.0,1.0,S1_baseline_r16,synthetic_reference
31.0,0.99952,S1_baseline_r16,synthetic_reference
32.0,1.0,S1_baseline_r16,synthetic_reference
33.0,0.99985,S1_baseline_r16,synthetic_reference
34.0,0.99657,S1_baseline_r16,synthetic_reference
35.0,0.99731,S1_baseline_r16,synthetic_reference
36.0,1.0,S1_baseline_r16,synthetic_reference
37.0,0.99708,S1_baseline_r16,synthetic_reference
38.0,0.9951,S1_baseline_r16,synthetic_reference
39.0,0.99651,S1_baseline_r16,synthetic_reference
40.0,0.99805,S1_baseline_r16,synthetic_reference
41.0,1.0,S1_baseline_r16,synthetic_reference
42.0,1.0,S1_baseline_r16,synthetic_reference
43.0,0.99449,S1_baseline_r16,synthetic_reference
44.0,0.99845,S1_baseline_r16,synthetic_reference
45.0,0.99792,S1_baseline_r16,synthetic_reference
46.0,0.99612,S1_baseline_r16,synthetic_reference
47.0,0.99916,S1_baseline_r16,synthetic_reference
48.0,0.9964,S1_baseline_r16,synthetic_reference
49.0,0.99626,S1_baseline_r16,synthetic_reference
50.0,0.99845,S1_baseline_r16,synthetic_reference
51.0,0.99791,S1_baseline_r16,synthetic_reference
52.0,0.99803,S1_baseline_r16,synthetic_reference
53.0,0.99756,S1_baseline_r16,synthetic_reference
54.0,0.99812,S1_baseline_r16,synthetic_reference
55.0,0.99526,S1_baseline_r16,synthetic_reference
56.0,1.0,S1_baseline_r16,synthetic_reference
57.0,0.99975,S1_baseline_r16,synthetic_reference
58.0,0.99851,S1_baseline_r16,synthetic_reference
59.0,0.99813,S1_baseline_r16,synthetic_reference
60.0,0.99773,S1_baseline_r16,synthetic_reference
61.0,0.99728,S1_baseline_r16,synthetic_reference
62.0,0.99955,S1_baseline_r16,synthetic_reference
63.0,1.0,S1_baseline_r16,synthetic_reference
64.0,1.0,S1_baseline_r16,synthetic_reference
65.0,1.0,S1_baseline_r16,synthetic_reference
66.0,0.9962,S1_baseline_r16,synthetic_reference
67.0,0.99876,S1_baseline_r16,synthetic_reference
68.0,0.99506,S1_baseline_r16,synthetic_reference
69.0,0.99529,S1_baseline_r16,synthetic_reference
70.0,0.99668,S1_baseline_r16,synthetic_reference
71.0,0.99804,S1_baseline_r16,synthetic_reference
72.0,0.99431,S1_baseline_r16,synthetic_reference
73.0,0.9992,S1_baseline_r16,synthetic_reference
74.0,1.0,S1_baseline_r16,synthetic_reference
75.0,1.0,S1_baseline_r16,synthetic_reference
76.0,0.99658,S1_baseline_r16,synthetic_reference
77.0,1.0,S1_baseline_r16,synthetic_reference
78.0,0.99979,S1_baseline_r16,synthetic_reference
79.0,1.0,S1_baseline_r16,synthetic_reference
80.0,0.99961,S1_baseline_r16,synthetic_reference
81.0,1.0,S1_baseline_r16,synthetic_reference
82.0,0.99673,S1_baseline_r16,synthetic_reference
83.0,1.0,S1_baseline_r16,synthetic_reference
84.0,0.99627,S1_baseline_r16,synthetic_reference
85.0,1.0,S1_baseline_r16,synthetic_reference
86.0,1.0,S1_baseline_r16,synthetic_reference
87.0,0.99713,S1_baseline_r16,synthetic_reference
88.0,0.99616,S1_baseline_r16,synthetic_reference
89.0,1.0,S1_baseline_r16,synthetic_reference
90.0,0.99564,S1_baseline_r16,synthetic_reference
91.0,0.9973,S1_baseline_r16,synthetic_reference
92.0,1.0,S1_baseline_r16,synthetic_reference
93.0,0.99904,S1_baseline_r16,synthetic_reference
94.0,1.0,S1_baseline_r16,synthetic_reference
95.0,0.99932,S1_baseline_r16,synthetic_reference
96.0,1.0,S1_baseline_r16,synthetic_reference
97.0,0.99984,S1_baseline_r16,synthetic_reference
98.0,1.0,S1_baseline_r16,synthetic_reference
99.0,1.0,S1_baseline_r16,synthetic_reference
100.0,1.0,S1_baseline_r16,synthetic_reference
101.0,0.99636,S1_baseline_r16,synthetic_reference
102.0,0.99714,S1_baseline_r16,synthetic_reference
103.0,1.0,S1_baseline_r16,synthetic_reference
104.0,0.99645,S1_baseline_r16,synthetic_reference
105.0,0.99665,S1_baseline_r16,synthetic_reference
106.0,0.99849,S1_baseline_r16,synthetic_reference
107.0,0.99774,S1_baseline_r16,synthetic_reference
108.0,1.0,S1_baseline_r16,synthetic_reference
109.0,1.0,S1_baseline_r16,synthetic_reference
110.0,1.0,S1_baseline_r16,synthetic_reference
111.0,0.99834,S1_baseline_r16,synthetic_reference
112.0,0.99961,S1_baseline_r16,synthetic_reference
113.0,1.0,S1_baseline_r16,synthetic_reference
114.0,1.0,S1_baseline_r16,synthetic_reference
115.0,1.0,S1_baseline_r16,synthetic_reference
116.0,0.99897,S1_baseline_r16,synthetic_reference
117.0,1.0,S1_baseline_r16,synthetic_reference
118.0,0.99545,S1_baseline_r16,synthetic_reference
119.0,0.99752,S1_baseline_r16,synthetic_reference
120.0,0.99912,S1_baseline_r16,synthetic_reference
121.0,0.99089,S1_baseline_r16,synthetic_reference
122.0,0.97668,S1_baseline_r16,synthetic_reference
123.0,0.96215,S1_baseline_r16,synthetic_reference
124.0,0.95109,S1_baseline_r16,synthetic_reference
125.0,0.94083,S1_baseline_r16,synthetic_reference
126.0,0.92957,S1_baseline_r16,synthetic_reference
127.0,0.92603,S1_baseline_r16,synthetic_reference
128.0,0.91151,S1_baseline_r16,synthetic_reference
129.0,0.8975,S1_baseline_r16,synthetic_reference
130.0,0.89228,S1_baseline_r16,synthetic_reference
131.0,0.88533,S1_baseline_r16,synthetic_reference
132.0,0.87782,S1_baseline_r16,synthetic_reference
133.0,0.87155,S1_baseline_r16,synthetic_reference
134.0,0.85774,S1_baseline_r16,synthetic_reference
135.0,0.84844,S1_baseline_r16,synthetic_reference
136.0,0.84837,S1_baseline_r16,synthetic_reference
137.0,0.83844,S1_baseline_r16,synthetic_reference
138.0,0.82937,S1_baseline_r16,synthetic_reference
139.0,0.82618,S1_baseline_r16,synthetic_reference
140.0,0.82441,S1_baseline_r16,synthetic_reference
141.0,0.81389,S1_baseline_r16,synthetic_reference
142.0,0.80864,S1_baseline_r16,synthetic_reference
143.0,0.79868,S1_baseline_r16,synthetic_reference
144.0,0.78822,S1_baseline_r16,synthetic_reference
145.0,0.79247,S1_baseline_r16,synthetic_reference
146.0,0.77967,S1_baseline_r16,synthetic_reference
147.0,0.78115,S1_baseline_r16,synthetic_reference
148.0,0.77574,S1_baseline_r16,synthetic_reference
149.0,0.77031,S1_baseline_r16,synthetic_reference
150.0,0.76104,S1_baseline_r16,synthetic_reference
151.0,0.75854,S1_baseline_r16,synthetic_reference
152.0,0.75444,S1_baseline_r16,synthetic_reference
153.0,0.74932,S1_baseline_r16,synthetic_reference
154.0,0.74201,S1_baseline_r16,synthetic_reference
155.0,0.74279,S1_baseline_r16,synthetic_reference
